restaurant_id,restaurant_name,restaurant_type,Rating,num_of_ratings,avg_cost,online_order,table_booking,cuisines_type,area,local_address
2746,Dehati Murgee,Quick Bites,4,151,600,Yes,No,"North Indian, Mughlai",Brookefield,Whitefield
2747,Deja Vu Resto Bar,Pub,4.4,2487,900,Yes,Yes,"North Indian, Italian",Bannerghatta Road,Bannerghatta Road
2748,Delhi Base Sri Food Court,Quick Bites,3.9,505,250,Yes,No,"North Indian, South Indian, Chinese, Street Food",Electronic City,Electronic City
2749,Delhi Belli,"Takeaway, Delivery",3.3,4,500,No,No,North Indian,Whitefield,Whitefield
2750,Delhi Bhavan,Quick Bites,3.3,11,150,No,No,"Street Food, Mithai",Lavelle Road,Commercial Street
2751,Delhi Biryani Cafe,Quick Bites,3.4,10,250,Yes,No,"North Indian, Biryani",Jayanagar,BTM
2752,Delhi Delight Food Cafe,Quick Bites,3.1,28,200,Yes,No,"Chinese, North Indian",Marathahalli,Jeevan Bhima Nagar
2753,Delhi Food Point,Quick Bites,3.3,909,250,Yes,No,"North Indian, Beverages","Byresandra,Tavarekere,Madiwala",Koramangala 1st Block
2754,Delhi Highway,Casual Dining,4.4,3423,1500,Yes,Yes,"North Indian, Mughlai",MG Road,Indiranagar
2755,Delhi Home Food,Quick Bites,3.3,5,200,No,No,"North Indian, South Indian",HSR,Koramangala 1st Block
2756,Delhi Ke Bawarchi,Casual Dining,4,88,500,No,No,"North Indian, Chinese, Fast Food",Jayanagar,JP Nagar
2757,Delhi Kitchen,"Takeaway, Delivery",2.9,142,400,Yes,No,North Indian,Brookefield,"ITPL Main Road, Whitefield"
2758,Delhi Mahal,Quick Bites,3.1,114,400,Yes,No,"North Indian, Mughlai, Chinese",Whitefield,Whitefield
2759,Delhi Mess,Quick Bites,4.1,498,300,Yes,No,"North Indian, Chinese",New BEL Road,New BEL Road
2760,Delhi Pizza House,Quick Bites,3.2,4,400,No,No,"Pizza, American",Electronic City,Electronic City
2761,Delhi Restaurant,Quick Bites,3.6,194,350,Yes,No,"North Indian, Mughlai, Chinese",Brookefield,Whitefield
2762,Delhi Sweets,Quick Bites,3.1,10,100,No,No,"Street Food, Mithai",Bannerghatta Road,JP Nagar
2763,Delhi Walle,Quick Bites,3.7,116,300,No,No,"North Indian, Street Food",Brookefield,Whitefield
2764,Delhiciouss,Quick Bites,3.7,24,300,No,No,"North Indian, Sandwich",Brookefield,Whitefield
